name,email,region
Brianna Brady,pellentesque.tellus.sem@protonmail.edu,Kano
Gwendolyn Alford,est.mollis.non@protonmail.edu,Paraíba
Zachary Hays,feugiat.metus@hotmail.edu,Limpopo
Dana Payne,elit.pede@icloud.org,Dumfriesshire
Bert Hatfield,rhoncus@icloud.com,Maranhão
Chandler Cotton,lectus@google.com,Western Cape
Aladdin Sheppard,arcu.vestibulum.ante@aol.com,Bauchi
Julie Knox,amet.diam.eu@yahoo.net,Banffshire
Macaulay Moon,gravida.mauris.ut@google.com,Kaduna
Eve Mcleod,ornare.lectus@aol.org,Pará
Alec Cruz,et@hotmail.edu,Katsina
Dara Dawson,quam.elementum@aol.ca,Free State
Mohammad Clayton,cursus.diam@yahoo.couk,Renfrewshire
Nigel Davenport,ac.arcu@aol.edu,Limpopo
Lesley Lott,ac.ipsum@outlook.com,Oyo
Beverly Kennedy,enim@hotmail.ca,Northern Cape
Wesley Dillard,semper.erat@icloud.edu,Argyllshire
Stone Franks,eget@protonmail.com,Benue
